1038.4615384615386	1038.4615384615386	3e3	3e3
1038.4615384615386	1038.4615384615386	5700	5700
5460	5460	6065.353846153843	6065.353846153843
5460	5460	6065.353846153843	6065.353846153843
11122.8	11122.8	12185.353846153843	12185.353846153843
16998	16998	17815.753846153842	17815.753846153842
22200	22200	23446.153846153844	23446.153846153844
22200	22200	23446.153846153844	23446.153846153844
22200	22200	23446.153846153844	23446.153846153844
22200	22200	23446.153846153844	23446.153846153844
19080	19080	14676.923076923078	14676.923076923078
11880	11880	9138.461538461539	9138.461538461539
4680	4680	3600	3600
4500	4500	3600	3600
3600	3600	3300	3300
