st_X,st_Y,RUTA,TIPO,LONGITUD,spjoin_rif
-84.58674408,10.01583057,1,PRIMARIA,48.75,0
-84.58720893,10.01522461,1,PRIMARIA,48.75,0
-84.587491,10.01466359,1,PRIMARIA,48.75,0
-84.58837575,10.01455439,1,PRIMARIA,48.75,0
-84.58937918,10.01483398,1,PRIMARIA,48.75,0
-84.59009142,10.01561091,1,PRIMARIA,48.75,0
-84.5907667,10.0161439,1,PRIMARIA,48.75,0
-84.59190729,10.01664008,1,PRIMARIA,48.75,0
-84.59233636,10.01723641,1,PRIMARIA,48.75,0
-84.59280196,10.01755259,1,PRIMARIA,48.75,0
-84.59465391,10.01773189,1,PRIMARIA,48.75,0
-84.5955935,10.01814699,1,PRIMARIA,48.75,0
-84.59690634,10.01744073,1,PRIMARIA,48.75,0
-84.59755432,10.01782881,1,PRIMARIA,48.75,0
-84.59823038,10.01866916,1,PRIMARIA,48.75,0
-84.59894191,10.01916594,1,PRIMARIA,48.75,0
-84.59954403,10.01892121,1,PRIMARIA,48.75,0
-84.60011763,10.01771818,1,PRIMARIA,48.75,0
-84.60061004,10.01757312,1,PRIMARIA,48.75,0
-84.600902,10.01799792,1,PRIMARIA,48.75,0
-84.60125836,10.01835007,1,PRIMARIA,48.75,0
-84.60257198,10.01856594,1,PRIMARIA,48.75,0
-84.60339303,10.01873715,1,PRIMARIA,48.75,0
-84.60421453,10.01944162,1,PRIMARIA,48.75,0
-84.60457028,10.0196583,1,PRIMARIA,48.75,0
-84.60496274,10.01982987,1,PRIMARIA,48.75,0
-84.60624002,10.01993727,1,PRIMARIA,48.75,0
-84.60784462,10.01943851,1,PRIMARIA,48.75,0
-84.60898481,10.01943753,1,PRIMARIA,48.75,0
-84.61016165,10.01930103,1,PRIMARIA,48.75,0
-84.61051666,10.01869486,1,PRIMARIA,48.75,0
-84.61040562,10.01671491,1,PRIMARIA,48.75,0
-84.61079728,10.01597323,1,PRIMARIA,48.75,0
-84.61137153,10.01555686,1,PRIMARIA,48.75,0
-84.61219239,10.01551998,1,PRIMARIA,48.75,0
-84.61236569,10.01558324,1,PRIMARIA,48.75,0
-84.61455543,10.016178,1,PRIMARIA,48.75,0
-84.61573145,10.01571575,1,PRIMARIA,48.75,0
